"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YLR183C",17.3912755311054,1.68775815837184,0.52197754734914,6.42260453977976e-06,5.0588772487595e-05
"YLR185W",339.436714341682,0.897869920295048,0.194702070037811,1.25339534721839e-06,1.16903985083417e-05
"YLR186W",35.5779820997617,0.662986729695701,0.287157391642731,0.0101235681086933,0.0302882312661313
"YLR187W",84.7488217562042,-0.333395125979657,0.297499133201829,0.208846738961261,0.339704402812147
"YLR188W",58.982557664226,0.0651826659324122,0.261197982397722,0.785619447579379,0.866422649019601
"YLR189C",339.158191930776,-1.07604050473016,0.148146963921701,7.03752907441996e-14,2.02708435496528e-12
"YLR190W",107.09964258801,0.665374205532114,0.221843034669435,0.00140876433532075,0.00565044316337523
"YLR191W",45.3250775549235,-0.102720264263128,0.261586877520442,0.668554207703919,0.780428049695294
"YLR192C",127.525628638522,0.55634754578158,0.206791016031176,0.00453917311129054,0.0153368768195376
"YLR193C",72.2363600198436,0.680257355625896,0.321926727624114,0.0152733585535978,0.0426956493153856
"YLR194C",71.839772957639,1.20077108556365,0.309201918233659,8.06373854274642e-06,6.20190152842644e-05
"YLR195C",113.649950049466,0.45429294870052,0.198960097854382,0.0164894353112609,0.0454891652060887
"YLR196W",66.9137101783158,0.430408050306709,0.24151086916998,0.0551241035870521,0.120926772739594
"YLR197W",111.518024480093,0.818661794605867,0.308745459678488,0.00258218767038936,0.00956322802626877
"YLR199C",48.8052532538998,0.356187419578305,0.248448442258574,0.121250802982571,0.225037813747816
"YLR200W",21.849215125595,0.782061888456425,0.449026664765469,0.0207636929913692,0.0548841475561338
"YLR201C",124.876245743764,0.0785287618848093,0.22029334174769,0.70505570797041,0.807464757934893
"YLR203C",212.206089520986,0.441121715661018,0.183370072574406,0.0121731009910931,0.0352765265101642
"YLR204W",174.680848785162,0.441418764071648,0.231494820330649,0.0414219639931022,0.0965089057983619
"YLR205C",37.6791504083997,-0.675082242049912,0.317299812511173,0.0150157859447023,0.0420957815892513
"YLR206W",212.13038248946,-0.555449210708447,0.201774840704051,0.00377744446741462,0.0131963517779598
"YLR207W",85.1370635797587,-0.403553262772152,0.235481794976518,0.0661972153108578,0.13936755183325
"YLR208W",120.341502652922,0.143054381816493,0.189039084370763,0.429261610436421,0.576140069192418
"YLR209C",56.8109670958435,0.520768019262218,0.278040828213937,0.0385341575457535,0.0910441132846191
"YLR210W",15.1547600791566,0.0271615139118471,0.360585662626156,0.928400409716744,0.959553577351368
"YLR211C",26.539213202062,0.297736631770597,0.386018387942264,0.343113492569984,0.49138066837466
"YLR212C",24.5258092349597,1.13374724417605,0.415002052875278,0.000509315882512806,0.0023435709676157
"YLR213C",11.6101124471305,-0.508547443839304,0.386428550361185,0.105880155025847,0.201931772454358
"YLR214W",55.7162118414089,-1.14885686109986,0.242465090266154,2.51671278491357e-07,2.65551868237817e-06
"YLR215C",44.5919892614874,-0.342902180174655,0.255652362987364,0.145180343184093,0.258621065620594
"YLR216C",243.101653199036,2.2510219875394,0.262977085336929,6.44671145861078e-21,3.78808765307969e-19
"YLR218C",80.6317015406518,0.915079502772215,0.30286717109543,0.000619683466137147,0.00278171126586851
