"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR041W",80.8226560531423,0.946202576338751,0.256583620158254,19.3058389644561,6.42377520310507e-05,0.000189488469344605
"YDR042C",18.9939735451505,-0.214418305319793,0.404458859651676,2.58024579265336,0.275236955400361,0.331888436267703
"YDR043C",327.312282827998,-0.198133917161742,0.232030644586405,19.6341438083395,5.45129699338811e-05,0.000162928896913268
"YDR044W",86.0557051012259,0.470130860304106,0.223532057361897,6.81961103311433,0.033047626967204,0.0520471337601959
"YDR045C",17.2796134490004,-0.0870020816849125,0.489772078131597,4.79660018657194,0.0908722964946506,0.127407686519343
"YDR046C",23.6820876690602,-0.102396940080383,0.481979585244648,45.0419750660594,1.65675918657922e-10,1.11769425721464e-09
"YDR047W",112.619232039657,0.631165812831225,0.233170570399365,7.31728827657631,0.0257674261186325,0.0416302985628498
"YDR049W",68.327490244799,0.415172328201911,0.355341633192732,1.61506434073273,0.445957255890089,0.500849548090628
"YDR050C",2674.91576816734,-1.27063224666372,0.148905052281126,92.853002727878,6.87427091317243e-21,1.36004093891587e-19
"YDR051C",90.3960276693389,-0.151120180484432,0.222013438895013,3.00101605229067,0.223016832982281,0.277813633793488
"YDR052C",152.261749920772,0.570350946750078,0.356353650064225,5.47768141821389,0.0646452461148875,0.09446791001519
"YDR054C",190.0394136156,1.39524067829497,0.256372314936212,32.2682214501888,9.84112485297944e-08,4.6559138193323e-07
"YDR055W",552.743340942558,2.30196002600027,0.271337450526959,79.8893167317538,4.49009252306868e-18,6.91609102012903e-17
"YDR056C",114.481501605693,0.62064399946515,0.203009423594803,10.965648403259,0.00415757128206154,0.00824498442571502
"YDR057W",64.9761487377631,0.139486691613341,0.30404946791491,0.53251334523641,0.766242428808133,0.797940923935242
"YDR058C",73.2914560825344,0.492142457799447,0.255240049360912,9.1721541631735,0.0101927654333215,0.0183158072434853
"YDR059C",133.151909150396,0.146660002546373,0.258078232031477,5.76917684325363,0.0558777828913558,0.0829493256085903
"YDR060W",194.142796986063,0.811582445199281,0.269404176649605,14.6157219639813,0.000670249194934774,0.00158933989888488
"YDR061W",104.075515747565,-0.540884713793376,0.221652234957428,7.59747127664738,0.0223990744913832,0.0367439870774338
